id;name;artist;genres;style;resolution;length
it_04dk_97E;Best Friend;Yelawolf;Hip Hop;hiphop;640x240;304.738333
bY4F5s9mMO4;Love Game;Eminem;Hip-Hop,hip hop,rap;hiphop;1280x720;297.006433
ylT16QB6Uig;The New Workout Plan;Kanye West;Hip Hop;hiphop;464x352;486.178333
b-3BI9AspYc;What Now;Rihanna;Pop;pop;1280x496;248.592833
D8yJsYMUW_k;Desperado;Rihanna;rnb,Hip-Hop,hip hop;hiphop;1280x432;202.385122
KdS6HFQ_LUc;S&M;Rihanna;Dance,Pop,Rock,R&B/Soul/Funk,Contemporary R&B;rock;640x336;243.088333
faMPUonEC2A;FourFiveSeconds;Rihanna;pop,Kanye West,paul mccartney;pop;1280x720;188.429922
8ELh8eOzq_0;Kanye;The Chainsmokers;Dance;electro;1280x576;253.77087799999998
DJsjJBbOg2k;Only One;Kanye West;Hip Hop,Pop;hiphop;1280x720;137.322811
cEmrvCiEapM;Touchin, Lovin (feat. Nicki Minaj);Trey Songz;R&B/Soul/Funk;hiphop;640x352;279.265
DFSG8KfIvBY;Smoke A Nigga;Juicy J;Hip Hop;hiphop;640x352;257.926667
mIBjdKn97T4;Runaway Baby;Bruno Mars;Pop;pop;640x352;168.855
55AUYnFKJGQ;That’s What I Like;Bruno Mars;Pop;pop;640x352;218.243333
Z1FK7yKRVXQ;Now Hear This G (DJ Becky Shower Remix);DJ Dirty Dave;Dance;electro;640x288;183.879
oFB-6Ncxmjc;Grand Piano;Nicki Minaj;Hip Hop,Pop;hiphop;640x352;260.178333
3AtDnEC4zak;We Don't Talk Anymore;Charlie Puth;pop,duet,Selena Gomez;pop;1280x720;230.458044
cmoCYFfKQtc;Kanye;The Chainsmokers;Dance;electro;1280x720;261.572789
Wc3DDIZK3c0;Breathe Me;Sia;Pop;pop;1280x704;191.123444
HqTNDJgvaj0;Ain't You Had Enough Love;Phyllis Hyman;quiet storm,rnb,Old School soul;hiphop;640x352;209.56
YIHRlWmeodY;Money Come;Zuse;hip hop,electronic,rap;hiphop;1280x720;144.86928899999998
kBsycvSU6r8;Sidewalks;The Weeknd;Hip-Hop,kendrick lamar,rap;hiphop;1280x480;719.6096110000001
nwyjxsOYnys;Silas' Room;Smigg Dirtee;Hip Hop;hiphop;1280x720;196.812333
ixAK_UvLu0A;The Recipe;Kendrick Lamar;rap,chillout,hip hop;hiphop;1280x624;344.4448
tg00YEETFzg;We Found Love;Rihanna;Pop;pop;1280x720;275.411878
-u08GXzjJrM;Say Yeah;Wiz Khalifa;Hip Hop;hiphop;480x272;245.433333
sunoA3R1YF8;Colossal;Future;Hip Hop;hiphop;640x352;196.463333
O6RjAeIS0w0;Everyday;Ariana Grande;Pop;pop;1280x720;196.440811
4fnN52gA5oM;How Deep Is Your Love;Ali Brustofski;pop,indie pop,singer-songwriter;pop;640x352;240.72
BPNTC7uZYrI;Up&Up;Coldplay;british,pop,rock;rock;640x352;250.52
afUuzGTCtuw;On & On ;Cartoon;Dance;electro;640x352;206.401667
J6ZWlDks0nQ;Paradise - Radio Edit;Coldplay;rock,alternative,britpop;rock;640x352;278.129
E1mU6h4Xdxc;Disturbia;Rihanna;Dance,Hip Hop,Pop,Rock,R&B/Soul/Funk;rock;640x272;261.41
euCqAq6BRa4;Let Me Love You;DJ Snake;Pop;pop;1280x512;205.310833
7yQdrxxPiKQ;How It Was (feat. Future);Dj Esco;Hip Hop;hiphop;640x352;277.803333
YtG-c1Thfco;Kitchen Sink;Twenty One Pilots;Alternative;rock;1280x720;324.311667
0k_1kvDh2UA;Speed Of Sound;Coldplay;Alternative,Indie Pop,Indie Rock,Pop,Indie Pop/Folk,Rock;rock;560x288;269.258333
uxpDa-c-4Mc;Hotline Bling;Drake;Hip Hop;hiphop;1280x720;295.520356
Oxo_9KbVS0I;Senile;Young Money;Hip-Hop,hip hop,rap;hiphop;640x272;233.36
i5Sutf3rg94;Fading;Rihanna;Pop,R&B/Soul/Funk,Contemporary R&B;hiphop;640x352;204.10333300000002
hbJuEFs7-kU;Fix You;Coldplay;Alternative,Indie Pop,Indie Rock,Pop,Indie Pop/Folk,Rock;rock;640x352;270.651667
m2QoJqBdfGE;Still Blazin';Wiz Khalifa;Rap/Hip-Hop;hiphop;640x352;207.05166699999998
EZW7et3tPuQ;Backseat Freestyle;Kendrick Lamar;hip hop,Hip-Hop,rap;hiphop;1280x720;284.5141
IqYFWQcnBXA;Criminal;Eminem;rap,Hip-Hop,Eminem;hiphop;592x304;287.183333
9vMh9f41pqE;Tremor;Dimitri Vegas & Like Mike;Dance;electro;640x352;198.461
i_FXF5tR74U;Something Just Like This;The Chainsmokers;Dance;electro;1280x720;239.86212200000003
iiNXf0n_hrA;Let You Go (Mix Show Edit);The Chainsmokers;Dance;electro;1280x528;245.50457799999998
SZ4SNgRQduE;Business;Eminem;rap,Hip-Hop,Eminem;hiphop;480x352;249.311667
n4ZIPIwGkGk;Watch Out For This (Bumaye);Busy Signal;dancehall,reggae,ragga;electro;640x352;273.506667
MBmDssOeOqU;Bird Set Free;Sia;love at first listen,pop,female vocalists;pop;1280x512;260.945844
dGghkjpNCQ8;Feel so Close - Radio Edit;Calvin Harris;dance,electronic,pop;electro;640x256;246.29333300000002
6CHs4x2uqcQ;Good Morning;Kanye West;Hip Hop;hiphop;640x352;187.128333
m9fUYcxP1UA;Fall For Your Type;Jamie Foxx;R&B/Soul/Funk;hiphop;1280x720;290.24942200000004
J9NfIai2vZs;Inside Out;The Chainsmokers;electronic,House,electro house;electro;1280x544;235.868967
WC8s_za_6g0;Cancer;twenty one pilots;indie,pop,rock;rock;1280x720;93.04235600000001
ppL8VzT4LsI;Sound Bang;Major Lazer;seen live,dancehall,electronic;electro;640x352;230.41
svIxm6Zn1_o;MIA;DJ SPIN ONE;Hip Hop;hiphop;640x352;216.78
ytIfSuy_mOA;Get Free (feat. Amber of Dirty Projectors);Major Lazer;alternative,experimental,dancehall;rock;640x352;241.48666699999998
2TlF9d7_K_o;Closer (Parody);Bart Baker;youtube,parody,pop;pop;1280x720;219.73042200000003
Q0yS53QjLqg;No Flex Zone;Rae Sremmurd;Hip Hop;hiphop;640x256;165.673333
YkwQbuAGLj4;Touch The Sky;Kanye West;Hip Hop;hiphop;464x352;325.473333
hXM0w1DPL3I;Reefer Party;Wiz Khalifa;Hip Hop;hiphop;640x352;436.65
A-lebYNcgBk;Closer;Alex Goot;pop,singer-songwiter,cover;pop;1280x576;200.086344
iW5EzxFR4SM;Ego;Beyoncé;Pop,R&B/Soul/Funk,Contemporary R&B;hiphop;640x352;292.245
FEKEjpTzB0Q;Good Life;Kanye West;Hip Hop,Pop;hiphop;640x352;229.76
RubBzkZzpUA;Started From the Bottom;Drake;Rap/Hip Hop;hiphop;1280x720;320.505033
m4S2avleyeM;Push Thru;Talib Kweli;Hip Hop;hiphop;1280x720;312.958544
yC1Z-SW5CVY;Mary 3x;Wiz Khalifa;Hip Hop;hiphop;640x352;218.36
8PTDv_szmL0;Nothin' On You (feat. Bruno Mars);B.o.B;Hip Hop;hiphop;640x352;230.155
fUiZ5vz9pUw;Maan;Juicy J;Hip Hop;hiphop;640x272;250.89
9o3Wg7vI-0w;Never Give Up;Sia;Soundtrack,pop,australian;pop;1280x512;225.814056
B3eAMGXFw1o;Bitch Better Have My Money;Rihanna;Pop;pop;1280x720;421.860133
g0LJNEQz-E4;Balance;Future Islands;Alternative;rock;640x352;261.316667
z9BPMjL44Aw;Miracles (Someone Special);Coldplay;Alternative;rock;640x320;282.423333
qbbQb9bEcDQ;Cartoon;Kendrick Lamar;Hip Hop;hiphop;1280x720;408.462222
b87dBaL4qI0;Almost Is Never Enough;Ariana Grande;Pop;pop;1280x544;224.862033
pSx1p-WrT4k;Playtime;Justin Bieber;pop,black metal,justin bieber;rock;1280x720;159.010244
ICaTsTkBPV8;Erase Me;Kid Cudi;Hip Hop;hiphop;640x352;235.775
EzqNtvQiCro;Anathema;Twenty One Pilots;Pop,Rock;rock;1280x720;240.4194
r2ozuCXpVJY;City ambience x12;Movie Sound Effects;Pop;pop;1280x672;280.218411
0HeCYMb_lR8;Mortal Man;Kendrick Lamar;Hip Hop;hiphop;480x272;313.09666699999997
51RHQnXhzjg;Stay;Julia Sheer;Rock;rock;1280x720;246.92098900000002
nhBorPm6JjQ;California King Bed;Rihanna;Pop;pop;1280x656;283.213778
ya-kUZdoleY;Diamonds;Madilyn Bailey;Rock;rock;1280x720;199.877367
pJtlLzsDICo;Hometown;twenty one pilots;Alternative,Electro,Dubstep,Hip Hop;rock;1280x720;235.1717
MlzrC-B6n-M;Wouldn't Get Far;The Game;Pop;pop;640x336;252.98
UFOVpYJIqrY;On Fire;Eminem;Hip Hop;hiphop;640x352;216.316667
FBn3k-w2YxY;The Future Is Now;Jesper Binzer;rock,hard rock,danish;rock;640x352;237.748333
pNNMr5glICM;There For You;Martin Garrix;Dance;electro;1280x560;220.148389
8aRor905cCw;Billionaire (Feat. Bruno Mars);Travie McCoy;Pop;pop;640x352;213.553333
ipUbf0W7VUg;Side To Side;Ariana Grande;Pop;pop;640x256;170.596667
HDI9inno86U;Fairly Local;twenty one pilots;Alternative;rock;1280x528;212.6019
6s1DkSCkU9M;Wicked Ways;Eminem;Hip-Hop,hip hop,rap;hiphop;640x352;300.535
CccnAvfLPvE;Worst Behavior;Drake;hip hop,rap,mofuckah;hiphop;1280x720;277.91963300000003
DGIgXP9SvB8;#thatPOWER;will.i.am;Dance;electro;1280x608;292.8965
ILTZ8qZbNK0;Chandelier;Sia;Pop;pop;1280x720;275.24933300000004
j5-yKhDd64s;Not Afraid;Eminem;Hip Hop;hiphop;640x256;258.785
pSFyrrhKj1Q;Your Love;Nicki Minaj;Hip Hop,Pop,R&B/Soul/Funk,Contemporary R&B;hiphop;640x352;245.57333300000002
oHmBf4ExtZk;Everyday;Ariana Grande;Pop;pop;1280x480;197.787567
DATeKnxceP4;Coldplay;David Ryan Harris;Pop,Singer & Songwriter;pop;640x352;248.476667
iECYZklHd74;Something Just Like This;The Chainsmokers;Dance;electro;1280x720;247.10675600000002
e-fA-gBCkj0;Locked Out Of Heaven;Bruno Mars;Pop;pop;640x336;234.218333
lWA2pjMjpBs;Diamonds;Rihanna;Pop;pop;1280x400;282.842267
fhshMjRNhs0;Alive;Sia;Pop;pop;1280x720;263.616144
LDj8kkVwisY;My Name Is;Eminem;rap,Hip-Hop,Eminem;hiphop;464x352;248.011667
Zen9yCyn4VA;Cheap Thrills;Sia;Pop;pop;1280x720;226.41777799999997
Bpy4osay3vY;Doubt;twenty one pilots;Alternative,Electro,Dubstep,Hip Hop;rock;1232x720;311.077722
jWsdlH3qizM;Losers;The Weeknd;rnb,10s,Labrinth;hiphop;1280x720;233.47663300000002
YVkUvmDQ3HY;Without Me;Eminem;rap,Hip-Hop,Eminem;hiphop;464x352;299.28166699999997
IvN5h9BE444;The Night Is Still Young;Nicki Minaj;Hip Hop,Pop;hiphop;640x352;246.92
uelHwf8o7_U;Love The Way You Lie;Eminem;Hip Hop;hiphop;1280x720;266.936589
yzTuBuRdAyA;The Hills (Clean);The Weeknd;Pop;pop;1280x688;234.15057799999997
gdx7gN1UyX0;Company;Justin Bieber;pop,Love,Canadian;pop;1280x720;207.934689
EMPOVo-K7HM;F*ck Your Ethnicity;Kendrick Lamar;Hip Hop;hiphop;640x352;180.975
MAdqQ70o2I8;Future;Early Seasons;Rock,Metal/HardRock;rock;640x272;244.73666699999998
xVqsS8RT88o;Never Give Up;Sia;Soundtrack,pop,australian;pop;1280x496;223.701033
n_NwJLbzATY;Seven Million (feat. Future);Lil Uzi Vert;Hip-Hop,future,trap;hiphop;640x352;171.873333
G-notIVdT4w;Forever;Eminem;Hip Hop;hiphop;512x256;193.143333
rcOVxiD4W7c;Drippn (How U Luv That) (feat. Future);Purple Reign;female vocalists,r&b,female vocalist;hiphop;640x352;191.773333
Ys7-6_t7OEQ;Beauty And A Beat;Justin Bieber;Pop;pop;1280x720;292.8965
G5Mv2iV0wkU;Roses;The Chainsmokers;Electro;electro;1280x416;240.04788900000003
rTAZlHGOVo8;Bake Sale;Wiz Khalifa;Rap/Hip Hop;hiphop;640x304;243.971667
q22qP_0b3-I;Sucker;Future Thieves;rock,alternative,alternative rock;rock;640x272;199.273333
xETC86u7eJo;House Of Gold;Twenty One Pilots;Alternative;rock;1280x720;210.210244
wWDUMfL2rV8;Cheap Thrills;Jenny;Garage Rock,Eurovision,indonesian;rock;1280x720;163.74711100000002
CYJpVtgW_-g;It Will Rain;Bruno Mars;Pop,Films/Games,Film Scores;pop;480x272;254.86166699999998
mYgkp3rTLuk;Blasting the Club VIP;1-Zero;Pop;pop;640x240;157.91833300000002
yw6i1SAHetc;Cancer;twenty one pilots;indie,pop,rock;rock;1280x720;237.261489
Ud-z3qZeeEA;Future;Arc Flash;Lo-Fi,Garage Rock;rock;640x352;206.191667
I5canBXoCyU;Heavy Dirty Soul;twenty one pilots;Alternative,Electro,Dubstep,Hip Hop;rock;1280x720;196.58013300000002
KxJLYM9XOT4;Promises;Wiz Khalifa;Hip Hop,R&B/Soul/Funk,Contemporary R&B;hiphop;640x272;193.305
yTay2mZhiXA;Selfish;Future;Rap/Hip Hop;hiphop;1280x688;251.7043
A9RPmjFeXeE;One Last Time;Ariana Grande;Pop;pop;1280x720;208.515189
ktBMxkLUIwY;Holding On To You;Twenty One Pilots;Alternative;rock;1280x704;267.609967
fy6rpExn57A;House Of Gold;Twenty One Pilots;Alternative;rock;1280x720;190.9609
-iVF5B2JpZ8;Touch The Sky;Kanye West;Hip Hop;hiphop;1280x720;734.2149559999999
6Djhc3Xb4eU;Alive;Kenz;Hip-Hop,podcast,jazz-hop;hiphop;1280x720;242.83427799999998
rAq585rAUbU;Drips;Eminem;rap,hip hop,Eminem;hiphop;480x352;280.171667
RDMsf0FoaMQ;Trees;Twenty One Pilots;Alternative;rock;1280x544;267.238456
D55rDDvu3n4;Devil In A New Dress;Kanye West;hip hop,rap,Kanye West;hiphop;1280x720;209.8155
rtodyi12q-4;DnF;P Reign;Hip Hop;hiphop;1280x544;276.990833
wmvQcajq9Eo;Cinderella Man;Eminem;Hip Hop;hiphop;480x256;279.706667
sbKL_QRwI-Q;The Greatest ;Sia;Pop;pop;1280x720;367.780856
xtIr8k4eC7o;Sing About Me, I'm Dying Of Thirst;Kendrick Lamar;Hip-Hop,rap,hip hop;hiphop;1280x672;420.14185599999996
8aShfolR6w8;i;Kendrick Lamar;Hip Hop;hiphop;1280x720;282.076
rFUB3hsY7ss;Gifted;French Montana;Hip Hop;hiphop;1280x544;257.764711
7FIOVIOvMWY;Hood Gone Love It;Jay Rock;rap,hey,kendrick lamar;hiphop;1280x640;233.035456
B_gt1etlEoI;Michael Jordan;Kendrick Lamar;Hip Hop;hiphop;1280x480;380.50538900000004
i602gOecGbc;Crack A Bottle;Eminem;Hip Hop;hiphop;640x352;297.725
OmliBRZUxnk;All Around The World;Justin Bieber;pop,justin bieber,all around the world;pop;1280x720;255.024756
myamTUmNob0;We All Want Love;Rihanna;Pop;pop;640x352;290.736667
7F37r50VUTQ;I Don’t Wanna Live Forever (Fifty Shades Darker);ZAYN;Soundtrack,taylor swift,pop;pop;1280x528;256.487611
AtKZKl7Bgu0;I Need Your Love;Ellie Goulding;Dance;electro;640x352;226.928333
VkXjvHfP3MM;No Frauds;Nicki Minaj;rap,Hip-Hop,hip hop;hiphop;1280x720;324.591744
I-BIZ_37Oog;Rooftops (feat. Curren$y);Wiz Khalifa;Hip Hop;hiphop;640x352;260.828333
Q821mNXNw-I;Famous;Kanye West;rap,Hip-Hop,Rihanna;hiphop;1280x720;200.759722
fOSpFf6wTBk;Roses;The Chainsmokers;Electro;electro;1280x720;243.5541
EEuQU6a90Pc;Next To You;Chris Brown;R&B/Soul/Funk;hiphop;1280x720;363.136867
3h71v0tG59k;Feel so Close - Radio Edit;Calvin Harris;dance,electronic,pop;electro;640x352;217.268333
OrlAKCdc18E;Can't Lie (feat. Future);Ralo;Hip Hop;hiphop;640x352;269.443333
iuc19oVw39c;Paris (VINAI Remix);The Chainsmokers;electronic,remix,2017;electro;1280x544;209.142267
9dcVOmEQzKA;Come as You Lose it;Eminem;rap,Hip-Hop,Eminem;hiphop;464x352;245.55
YWt4wmZ_EMI;Lighters;Bad Meets Evil;Hip Hop;hiphop;640x256;308.266667
u3VTKvdAuIY;It Ain't Me;Kygo;electronic,pop,dance;electro;1280x720;241.208889
plP8nLPEw0A;Lose Yourself;Eminem;Pop;pop;640x352;317.53166699999997
cr-Lj9TnJOE;Amen;Meek Mill;Hip Hop;hiphop;1280x720;296.2634
JRfuAukYTKg;Titanium;David Guetta;dance,electronic,David Guetta;electro;1280x512;245.249156
1aEImx74gLA;Best Rap Songs Of Each Year;DJ Max Star;Pop;pop;480x352;281.006667
_ZTYgq4EoRo;For Free?;Kendrick Lamar;Hip Hop;hiphop;1280x528;132.562711
LDZX4ooRsWs;Anaconda;Nicki Minaj;rap,very intelligent lyrics,Hip-Hop;hiphop;1280x528;289.622667
SOI4OF7iIr4;Somebody To Love;Justin Bieber;Pop;pop;1280x544;218.26756699999999
2JdBDp9GbpA;Spectrum (Say My Name);Florence + The Machine;Dance;electro;640x352;218.08166699999998
v7iQ-mcPciY;Closer;The Chainsmokers;electronic,2016,halsey;electro;640x272;257.391667
m8Ed8in9Qng;The Other Side;Bruno Mars;Pop;pop;640x352;240.21
M6t47RI4bns;Blessings;Big Sean;Hip Hop;hiphop;1280x544;311.333144
IakDItZ7f7Q;Violet Hill;Coldplay;Alternative,Indie Pop,Indie Rock,Pop,Indie Pop/Folk,Rock;rock;640x352;223.816667
LQ488QrqGE4;Homecoming;Kanye West;Hip Hop,Pop;hiphop;480x352;204.311667
4Z9b2HiW_L8;Problem;Pentatonix;Pop;pop;1280x720;217.176233
hk9K032K7UM;Talking to the Moon;Bruno Mars;pop,Love,rnb;hiphop;640x352;205.705
fwrY0D2ACNk;Throw Sum Mo;Rae Sremmurd;Hip Hop;hiphop;640x256;268.05
7oxSjw83u5E;Coldest Winter;Pentatonix;a cappella,pop,futuristic;pop;1280x720;179.28126699999999
8W_1vg7W6Oo;Watch Out For This (Bumaye);Busy Signal;dancehall,reggae,ragga;electro;640x352;325.705
TsMMuXZZUm8;The City;Game;Hip Hop;hiphop;1280x496;326.890511
8tEyAAniu5U;That’s Me Right There;Jasmine V;Pop;pop;1280x720;295.381033
bJuWlMFToNo;Baby I;Ariana Grande;Pop;pop;1280x720;203.592556
a35rNEBNiO4;Aston Martin Music;Rick Ross;Hip Hop;hiphop;1280x720;406.117
gaOHg-Jsrj8;Keys Nicki Minaj Diss;keys;Hip-Hop,hip hop,rap;hiphop;480x256;196.185
D7IoXbkQUsA;Ballin;Juicy J;rap,repetitive,hiphop;hiphop;1280x464;229.27382200000002
Bp0phVuGjdU;Keisha's Song (Her Pain);Kendrick Lamar;Hip Hop;hiphop;1280x608;197.46248899999998
6Sst02Q6OE0;More And More;Wiz Khalifa;Hip-Hop,rap,underground hip-hop;hiphop;480x272;225.186667
M8C8XJpxYdQ;Polarize;twenty one pilots;Alternative,Electro,Dubstep,Hip Hop;rock;1280x528;223.97967799999998
ytQ5CYE1VZw;'Till I Collapse;Eminem;rap,Eminem,Hip-Hop;hiphop;640x272;298.608333
RM7lw0Ovzq0;The Story of O.J.;JAY-Z;rap,Hip-Hop,hot;hiphop;976x720;253.933422
dqHFSuLadOU;Big Girls Cry;Sia;France,Pop,International Pop;pop;1280x704;212.46257799999998
WckScK2Kkx0;SuperBowl Funk;Ana Free;Pop,Rock;rock;640x352;234.17166699999999
9C7L0nCcsGo;Roman's Revenge;Nicki Minaj;Hip Hop,Pop,Rock,R&B/Soul/Funk,Contemporary R&B;rock;640x352;205.24
D4hAVemuQXY;Sing For The Moment;Eminem;rap,Eminem,Hip-Hop;hiphop;464x272;327.701667
_dGu72BHD7Y;Cheap Thrills;Sia;Pop;pop;1280x720;245.481356
1vehcmdWNUA;Collard Greens;Schoolboy Q;Hip Hop;hiphop;1280x528;306.317633
WsptdUFthWI;Closer (feat. Sarah Hyland);Boyce Avenue;Pop,Rock,Singer & Songwriter;rock;1280x720;244.34357799999998
kFLGTT4_lO4;Tony Montana;Gp The Beast;Hip Hop;hiphop;640x352;275.41166699999997
whwe0KD_rGw;Despacito;Luis Fonsi;Dance;electro;640x352;230.085
j47MYli8pj4;#TWERKIT;Busta Rhymes;Hip Hop;hiphop;640x352;277.013333
qNk-xjCISYQ;Heathens;Twenty One Pilots;alternative,love at first listen,Soundtrack;rock;1280x528;276.3177
HaivSgO1qE0;Can't Feel My Face;The Weeknd;Pop,R&B/Soul/Funk;hiphop;1280x688;297.726256
pa14VNsdSYM;Only Girl (In The World);Rihanna;Pop,Rock,R&B/Soul/Funk;rock;640x272;250.635
v1ySZ1M8Dfc;Wild Ones;Madilyn Bailey;Rock;rock;1280x720;242.76462200000003
rNsP4nE1_FA;Waterbed;The Chainsmokers;dance,synthpop,10s;electro;1280x528;222.702578
lWzdORxIbNk;Come On To Me (feat. Sean Paul);Major Lazer;dancehall,moombahton,Eargasm;electro;640x256;198.576667
QjlFqgRbICY;A.D.H.D;Kendrick Lamar;Hip Hop;hiphop;1280x720;225.442533
n2zgJkRspfk;Something Just Like This;The Chainsmokers;Dance;electro;1280x720;241.766167
Y7OCgi7rANc;Powerful;Major Lazer;pop,synth,dancehall;electro;640x352;207.26
